China,1330141295,1380996000
India,1173108018,1331793000
United States,310232863,325318000
Indonesia,242968342,260238000
Brazil,201103330,207012000
Pakistan,184404791,201576000
Bangladesh,156118464,162039000
Nigeria,152217341,191182000
Russia,139390205,146823000
Japan,126804433,126905000
Mexico,112468855,122916000
Philippines,99900177,103456000
Vietnam,89571130,93201000
Ethiopia,88013491,93296000
Germany,81644454,82605000
Egypt,80471869,92216000
Turkey,77804122,79806000
Iran,76923300,80310000
Congo (Kinshasa),69851289,74185000
Thailand,66336258,67526000
France,64768389,64765000
United Kingdom,62348447,65893000
Italy,60748965,60674000
Burma,53414374,53247000
South Africa,49109107,56084000
Korea South,48636068,51670000
Spain,46505963,46491000
Ukraine,45415596,42594000
Colombia,44205293,49067000
Sudan,43939598,40197000
Tanzania,41892895,50869000
Argentina,41343201,43823000
Kenya,40046566,45958000
Poland,38463689,38370000
Algeria,34586184,41323000
Canada,33759742,36477000
Uganda,33398682,37151000
Morocco,31627428,34310000
Iraq,29671605,38370000
Afghanistan,29121286,27611000
Nepal,28951852,28633000
Peru,28947973,31660000
Malaysia,28274729,31723000
Uzbekistan,27865738,32707000
Venezuela,27223228,31236000
Saudi Arabia,25731776,32620000
Ghana,24339838,28635000
Korea North,24325701,24284000
Yemen,23495361,27943000
Taiwan,23024956,23550000
Mozambique,22417453,26780000
Syria,22198110,24136000
Romania,21959278,19659000
Australia,21515754,24260000
Madagascar,21281844,23990000
Sri Lanka,21083826,21337000
Cote d'Ivoire,21058798,24230000
Cameroon,19294149,23372000
Netherlands,16783092,17095000
Chile,16746491,18286000
Burkina Faso,16241811,19344000
Niger,15878271,19989000
Kazakhstan,15460484,17926000
Malawi,15447500,17098000
Ecuador,14790608,16656000
Cambodia,14453680,15402000
Mali,13796354,18955000
Guatemala,13550440,16896000
Zambia,13460305,16170000
Angola,13068161,28276000
Senegal,12323252,15029000
Zimbabwe,11651858,13741000
Cuba,11098415,11240000
Rwanda,11055976,11772000
Greece,10749943,11548000
Portugal,10735765,10265000
Chad,10543464,14415000
Tunisia,10525041,11334000
Belgium,10423493,11359000
Guinea,10324025,11187000
Czech Republic,10201707,10573000
Hungary,9992339,9805000
Bolivia,9947418,11066000
Burundi,9863117,10261000
Dominican Republic,9823821,10123000
Somalia,9767889,13095000
Haiti,9648924,11284000
Belarus,9612632,9458535
Sweden,9074055,9508000
Benin,9056010,11362000
Azerbaijan,8303512,9829000
Austria,8214160,8787000
Honduras,7989415,8795000
Tajikistan,7487489,8747000
Israel,7353985,8630000
